epoch,train_loss,valid_loss,lr,train_accuracy,train_error,valid_accuracy,valid_error
0.0,176.45231790592487,170.47531668703135,0.001,81.69614536621991,18.30385458294083,82.78360860487994,17.216391661587885
1.0,160.54472807952027,150.5428933643577,0.001,81.86393915905671,18.136060749783237,83.21888070947983,16.7811198164435
2.0,152.97921888879122,203.8123396056133,0.001,82.16058129422805,17.83941881621585,80.55557082681095,19.444429565878476
3.0,152.23707824310586,154.01514676268746,0.001,82.24654401751125,17.753455870291766,82.83464639327106,17.165353943319882
4.0,148.5137982676274,153.6461721432124,0.001,82.27251643994275,17.72748363894575,83.35334065381218,16.646658462636612
5.0,151.06198759518074,158.65272109904691,0.001,82.4403447824366,17.559655305217294,83.26220691905303,16.73779298277462
6.0,141.19400039675483,148.01798512891253,0.001,82.64013068816242,17.359869260998334,83.14251310685101,16.857486703816583
7.0,139.7446249768728,156.53438889878944,0.001,82.69564484147465,17.30435499548912,83.02256197087905,16.977438604130466
8.0,137.43089952341145,161.1333956655977,0.001,82.77874778298771,17.221252287135403,82.22107500188491,17.778924949028912
9.0,132.74439635027096,171.02418706390233,0.001,82.85972237586975,17.140277692500284,81.04074068630443,18.959259573151083
10.0,131.85698544749545,162.9019820279731,0.001,82.89282804376938,17.107171819490546,81.73753048391903,18.262469726450302
11.0,141.37830071894132,239.6419304032568,0.001,82.90641355514526,17.093586562310946,77.45062488668106,22.549375043195838
12.0,138.4038446598192,132.55818234134395,0.001,82.91618480401881,17.08381509605576,83.35367780573227,16.646322215304654
13.0,143.93854658961496,134.31520933810114,0.001,82.9072078817031,17.092792191926172,83.70426817501293,16.29573178992552
14.0,128.77816127446656,142.29684635513925,0.001,83.20033262757694,16.79966724620146,83.53814764583812,16.46185284502366
15.0,121.1384359720336,145.4236916621179,0.001,83.37815102408914,16.621848905787747,83.60234311047722,16.397656616042642
16.0,137.2882433371235,143.7436648004769,0.001,83.0951553513022,16.904844555784674,83.56927260230569,16.43072759403902
17.0,124.91361041813738,128.88512684202448,0.001,83.30043757663054,16.69956241109792,84.17093490151798,15.829064726829529
18.0,123.85592984136318,143.42247216538763,0.001,83.29853485612308,16.701465206987717,83.5588389003978,16.441161204786862
19.0,124.15301725226736,170.79361408700944,0.001,83.4000765435836,16.599923430120242,80.32952314264634,19.67047675216899
20.0,128.96437104592385,135.9796090955653,0.001,83.21882141337676,16.78117839553777,83.40756001191981,16.592439756673926
21.0,117.68891952259415,138.88845623895727,0.001,83.4440990335801,16.555900854222916,83.16610470940086,16.833895143340616
22.0,117.0245136862453,139.06309287286686,0.001,83.58508328830494,16.414916560930365,83.6924248863669,16.307575499310214
23.0,119.66175579420347,226.90373963286098,0.001,83.70037525541642,16.2996247901636,79.08493978836957,20.91505978387945
24.0,123.56470754866477,139.84549677539107,0.001,83.3757419866674,16.624258011579514,82.85585796131807,17.144141954534195
25.0,113.01604107543574,133.89307813352892,0.001,83.80190062522888,16.198099364252652,83.85685393389534,16.14314572250142
26.0,115.21115496646894,137.85671781742883,0.0001,83.79952176879434,16.200478352168027,84.36576641307158,15.63423380431007
27.0,112.76225523628804,137.20320922318504,0.0001,83.85968872378854,16.140311241149902,84.39561142640956,15.604388447368846
28.0,107.05838961534653,140.0244664985869,0.0001,84.1056361619164,15.894363743417403,84.32974994883818,15.670250156346489
29.0,111.61282713328133,138.12628629733106,0.0001,83.99941363054164,16.00058628706371,84.39512376224293,15.604875859092264
30.0,110.88561020252683,134.5808875597474,0.0001,83.98785362524144,16.0121466079179,84.4245128070607,15.575487164890065
31.0,113.58482024474631,140.46092072269664,0.0001,84.0030196835013,15.996980490053401,84.29585911245907,15.704141048824086
32.0,113.20339793032967,138.46732698728562,0.0001,84.0017826977898,15.9982171041124,84.33981609344482,15.660184144973755
