epoch,train_loss,valid_loss,lr,train_accuracy,train_error,valid_accuracy,valid_error
0.0,529.0788442584615,666.8602973589045,0.001,70.24188438978265,29.758115435347836,57.95310673994177,42.046893063713526
1.0,373.64032844429,582.661662616173,0.001,73.83733124592725,26.162668503382626,61.61025742923512,38.389742612838745
2.0,320.45963639901095,615.3275926152035,0.001,75.93737186403835,24.06262803778929,61.49183949302225,38.508160324657666
3.0,321.5015387160412,401.8397040326577,0.001,75.17561046516194,24.82438954185037,70.05824209662045,29.941757861305685
4.0,286.82461041067154,606.0462541836647,0.001,76.45949466088238,23.540505528450012,64.82034315782435,35.1796565616832
5.0,253.62180063092325,307.3223077085368,0.001,77.18995540282306,22.810044435893786,73.0386355343987,26.96136454974904
6.0,243.8494189265076,243.1406499134538,0.001,77.32341475346509,22.676585032659418,76.90494643940644,23.09505393224604
7.0,216.1906616751227,213.21069103075263,0.001,78.08773426448597,21.912265654872446,78.64831823461196,21.351681737338794
8.0,225.89552951529222,239.37991580599288,0.001,77.93880093097687,22.061199070776212,78.05814922557158,21.941850613145267
9.0,215.4491168808963,219.18472675103425,0.001,78.11268606606652,21.88731392692117,78.50673535290886,21.49326435958638
10.0,212.12566939747154,257.9268744400084,0.001,78.29809275795432,21.701907264835693,78.00865038703469,21.991350124864017
11.0,208.645644561843,222.95194694152565,0.001,78.62836427548352,21.37163571224493,78.90274934207692,21.097250314319837
12.0,212.40580756616174,237.47628901312197,0.001,78.45120244867661,21.548797581125708,77.41032841626335,22.589671219096463
13.0,207.6761919330672,236.61156098723714,0.001,78.66280944207135,21.337190438719357,77.05835510702694,22.94164483687457
14.0,198.88031437740028,214.6539379865979,0.001,78.96031132866355,21.039688410127866,78.36702689002541,21.63297353772556
15.0,185.14941837779816,206.91265634875603,0.001,79.44952510384952,20.550474992569754,79.04796252531163,20.95203684358036
16.0,175.8781364990417,212.90138629342573,0.001,79.83129736255196,20.168702406041763,78.9203150693108,21.079684818492215
17.0,177.31127092589824,205.95875224221083,0.001,80.08428050489987,19.91571937063161,79.45513425153844,20.54486588870778
18.0,173.2440327004454,177.12896954363939,0.001,80.01359434688793,19.986405509359695,79.91944531833424,20.080554436234866
19.0,172.2282300575126,179.19618612616893,0.001,80.07303289806141,19.92696712122244,80.50702807482551,19.49297205139609
20.0,161.10292317315395,210.7759431537829,0.001,80.55298082968768,19.44701901253532,78.35982098298915,21.640178757555343
21.0,157.5761362790527,234.6607573712401,0.001,80.76970711876365,19.230292984667948,78.18860685124116,21.81139324693119
22.0,155.41149890415284,217.71309402876136,0.001,80.80882455320919,19.191175464321585,76.02577007518096,23.974230282446918
23.0,155.78559400366936,169.220554934839,0.001,80.93823365604176,19.061766503488315,80.38934101777919,19.610658961183884
